Kinj:	Kinj Gourmand
Kinj	Kinj Gourmand
Mad. Kinj:	Kinigin Dificile
Mad. Kinj.:	Kinigin Dificile
Kinigin:	Kinigin Dificile
Yoyotte:	Prinzess Yoyotte
Yoyotte	Prinzess Yoyotte
Langue de chat:	Baronesse Langue de chat
Bonbonnière:	Baronesse Bonbonnière
Bonbonniere:	Baronesse Bonbonnière
Güggumseck:	Minischter Güggumseck
Güggumseck	Minischter Güggumseck
Gäggele:	Minischter Gäggele
Opodeldock:	Opodeldock
Scharf:	Scharf
Scharf	Scharf
Winmuck:	Winmuck
Mumes:	Mumes
Schimmel:	Schimmel
Schablür:	Schablür
Biberon:	Biberon
Babilotte:	Babilotte
Babilotte	Babilotte
Schnurrdiburr:	Schnurrdiburr
Niesatt:	Kinj Niesatt
Niesatt	Kinj Niesatt
Coucou:	Coucou
Maharadscha:	Maharadscha Maja Rahja
Maja:	Maharadscha Maja Rahja
Maja	Maharadscha Maja Rahja
1. Soldat:	1. Soldat
2. Soldat:	2. Soldat
2. Soldat	2. Soldat
Aristide:	Prinz Aristide vun Sabatine (Hofnarr Heidideldum)
Aristide	Prinz Aristide vun Sabatine (Hofnarr Heidideldum)
Chantalem:	Prinz Arcadin vun Chantalem
Chantalem	Prinz Arcadin vun Chantalem
Bäbbelenz:	Prinz Bäbbelenz vun Gumberland
Bäbbelenz	Prinz Bäbbelenz vun Gumberland
Mickey:	Kinj Mickey
Mickey	Kinj Mickey
Kinj Mickey:	Kinj Mickey
Zieselmiesel:	Zieselmiesel
Zieselmiesel	Zieselmiesel
Mickeymies:	Mickeymies
Mickeymies	Mickeymies
Alli Mickeymiesle:	Alli Mickeymiesle
Alli Mickey:	Alli;Kinj Mickey
Drache:	Drache
Drache	Drache
Alli:	Alli
Alli	Alli
Alli, Mickey:	Alli;Kinj Mickey
Alli Mickey:	Alli;Kinj Mickey
Alli Mickey	Alli;Kinj Mickey
