 speaker as in text	speaker as in persList	
Alle	Alle
Auguste	Auguste Grinsinger
Charles:	Charles Durand
De Rose	Le baron de Rose
De Rose:	Le baron de Rose
de Rose	Le baron de Rose
de Rose:	Le baron de Rose
Die Mitglieder der beiden Vereine:	Die Mitglieder der Fanfare;Die Mitglieder des Sachsenbundes
Die Mitglieder der Fanfare	Die Mitglieder der Fanfare
Die Mitglieder der Fanfare: 	Die Mitglieder der Fanfare
Die Mitglieder der Fanfare	Die Mitglieder der Fanfare
Die Mitglieder der Fanfare:	Die Mitglieder der Fanfare
Die Mitglieder des Sachsenbundes	Die Mitglieder des Sachsenbundes
Dr. Kneppcehen:	Dr. Kneppchen
Dr. Kneppchen	Dr. Kneppchen
Dr. Kneppchen:	Dr. Kneppchen
Durand	Charles Durand
Durand:	Charles Durand
Ehrstein	Georges Ehrstein
Ehrstein:	Georges Ehrstein
Ein Mitglied:	Ein Mitglied des Sachsenbundes
Ein Mitglied der Fanfare:	Ein Mitglied der Fanfare
Ein Mitglied des Sachsenbundes	Ein Mitglied des Sachsenbundes
Ein Mitglied des Sachsenbundes:	Ein Mitglied des Sachsenbundes
Fritz Grinsiger	Fritz Grinsinger
Fritz Grinsinger	Fritz Grinsinger
Fritz Grinsinger:	Fritz Grinsinger
Fritz Grinzinger	Fritz Grinsinger
Fritz Grinzinger:	Fritz Grinsinger
Gauthier	Karl Gauthier
Gauthier:	Karl Gauthier
Gauthier.	Karl Gauthier
Gendarm	Ein Gendarm
Gendarm:	Ein Gendarm
Hans Grinsinger	Hans Grinsinger
Hans Grinsinger:	Hans Grinsinger
Hans Grisinger:	Hans Grinsinger
Jean:	Ein Diener
Jeannette	Jeannette Grinsinger
Jeannette:	Jeannette Grinsinger
Lisa	Lisa Grinsinger
Lisa:	Lisa Grinsinger
Madame Grinsinger	Caroline Grinsinger
Madame Grinsinger:	Caroline Grinsinger
Madame Grisinger:	Caroline Grinsinger
Marie	Marie
Marie:	Marie
Olga	Olga Gauthier
Olga:	Olga Gauthier
Rièmer	Rièmer
Rièmer:	Rièmer
Lisa, Jeannette, Durand	Lisa Grinsinger;Jeannette Grinsinger;Charles Durand
