#speaker	normalized_names
Albert	Albert Reißer
Alle:1	Erster Handwerker;Zweiter Handwerker
Alle:2	Antoine Ropfer;Jules Salber;Madame Susanne Schmidt;Susanne;Schampetiß Schneider (gen. Général);Ammej
Ammej	Ammej
Anatol	Anatol
Chrischtebür	D’r Chrischtenatz
Chrischtenatz:	D’r Chrischtenatz
D’r Chrischtenatz	D’r Chrischtenatz
D’r Chrischtennatz:	D’r Chrischtenatz
Erster Handwerker:	Erster Handwerker
Jeanne	Jeanne
Jean	Jean
Jules	Jules Salber
Jules und Albert	Jules Salber;Albert Reißler
Madame Ropfer, Jeanne und Albert:	Emilie;Jeanne;Albert Reißer
Madame Ropfer und Madame Schmidt	Emilie;Madame Susanne Schmidt
Madame Ropfer, Madame Schmidt, Susanne, Albert und Jeanne:	Emilie;Madame Susanne Schmidt;Susanne;Albert Reißler;Jeanne
Madame Ropfer, Madame Schmidt und Susanne	Emilie;Madame Susanne Schmidt;Susanne
Madame Ropfer	Emilie
Madame Ropfer :	Emilie
Madame Schmidt und Madame Ropfer	Madame Susanne Schmidt;Emilie
Madame Schmidt, Madame Ropfer und Susanne	Madame Susanne Schmidt;Emilie;Susanne
Madame Schmidt	Madame Susanne Schmidt;
Madame Schmidt und Susanne:	Madame Susanne Schmidt;Susanne
Marie	Marie
Piefke	Piefke
Ropfer, Jules und Susanne:	Antoine Ropfer;Jules Salber;Susanne
Ropfer	Antoine Ropfer
Ropfer und Jules	Antoine Ropfer;Jules Salber
Schampetiss	Schampetiß Schneider (gen. Général)
Susanne	Susanne
Wanda Stern	Wanda Stern
Zweiter Handwerker:	Zweiter Handwerker
